A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Fisiologia Vegetal;Entre 4 e 12 anos;5;5;5;4;2;2;5;3;5;5;5;5;5;5;5;3;3;5;4;3;3;5;Sim;4;Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Maior disponibilidade de recursos para custeio de projetos.;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;5;4;Sim;4;4;;
Fisiologia Vegetal;Mais de 12 anos;4;5;3;4;4;4;5;5;5;5;5;5;5;4;4;4;3;4;4;4;3;5;Sim;5;Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Temos feito o nosso melhor e temos tido sucesso nesse reconhecimento, porem necessitamos de uma infraestura de equipamentos multiusuarios mais efetiva.;Sim;Sim;Sim;Sim;Sim, em um evento nacional;Sim, em um evento internacional;5;Licenciamento de processos ou produtos, Avanco cientifico;5;;4;4;Sim;4;3;;
Meteorologia Aplicada;Mais de 12 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;5;4;4;4;4;3;5;5;5;5;5;5;5;4;5;5;5;4;4;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Acho que isso ja e realidade no programa, embora seja muito heterogeneo entre os professores orientadores. ;Nao;;;Sim;Sim, em um evento regional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;5;3;Sim;5;5;Falta motivacao para alguns professores orientadores. ;
Bioquimica Aplicada;Entre 4 e 12 anos;5;5;5;4;4;2;5;4;3;5;4;4;5;4;3;3;3;4;3;4;5;5;Sim;3;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Mais recursos.;Nao;;;Nao;Nao;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;5;5;Nao;5;5;;
Engenharia Quimica;Entre 4 e 12 anos;4;4;3;4;4;3;5;5;5;5;5;5;5;5;5;4;4;3;3;4;4;4;Sim;4;Sociedade, Empresas, Agencias Governamentais;Iniciamos pre estudo para apresentar proposta à iniciativa privada. Entretanto, nossos estudos foram interrompidos por conta da pandemia do novo coronavirus.;Tempo, interacao com empresas e melhor divulgacao de nossos projetos;Sim;Sim;Sim;Sim;As duas pesquisas cujos projetos foram orientados por mim, estao em processo de escrita de pedido de patente;As duas pesquisas cujos projetos foram orientados por mim, estao em processo de escrita de pedido de patente;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;0;Sim;3;3;Nao;3;3;;
Medicina Veterinaria;Entre 4 e 12 anos;4;4;3;2;2;3;5;4;2;5;3;3;4;5;5;4;5;3;3;3;5;5;Sim;5;Sociedade, Empresas;sim, junto a agencias de fomento governamentais e de apoio à pesquisa e a empresa;Melhores financiamentos;Sim;Nao;Nao;Nao;Sim, em um evento local;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;5;4;Nao;5;5;;
Ciencia da Computacao;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;4;4;4;5;5;3;Sem condicoes de avaliar;Sem condicoes de avaliar;4;3;3;3;4;4;3;3;3;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Nao;Acredito que nosso programa precise de mais professores e recursos para participacao em conferencias e publicacoes.;Sim;Sim;Nao;Nao;Nao;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;4;4;Sim;4;4;;
Botânica;Entre 4 e 12 anos;5;5;5;4;3;2;3;2;4;5;4;3;5;4;5;3;3;5;4;3;3;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Maior internacionalizacao e recursos para custeio de projetos.;Nao;;;Nao;Nao;Sim, em um evento local, Sim, em um evento nacional, Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;1;;5;2;Sim;4;4;;
Arquitetura e Urbanismo;Entre 4 e 12 anos;5;4;4;4;4;4;5;4;5;5;4;4;5;4;4;4;5;4;4;5;4;4;Sim;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;Estou comecando a fazer isso agora, nao tinha essa iniciativa ate 2020;Maior integracao com instituicoes e organismos internacionais.;Sim;Nao;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local;2;;4;3;Nao;4;5;Nosso programa esta passando por uma renovacao de docentes e ainda estamos nos ajustando às novas areas de pesquisa.;Estou bastante satisfeita com a conducao da nova gestao da PPG
Bioquimica Aplicada;Entre 4 e 12 anos;5;5;5;4;4;4;5;5;5;5;5;5;5;4;3;4;4;4;4;5;5;5;Sim;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Maior interacao com parceiros internacionais aliada a um fluxo constante e previsivel de investimentos para: 1) projetos de pesquisa de alto nivel, 2) infra-estrutura laboratorial multiusuaria de ponta e apoio tecnico, 3) bolsas de estudo no exterior e deslocamentos de pesquisadores e estudantes para os laboratorios parceiros no pais e exterior.;Sim;Sim;Sim;Sim;Nao foi ainda apresentado para a comunidade mas pretendo apresentar;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;4;Sim;4;4;;
Patrimônio Cultural, Paisagens e Cidadania;Menos de 4 anos;5;5;1;3;3;3;5;4;5;5;5;4;5;4;3;2;2;4;4;5;5;5;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Dominio de linguas estrangeiras pelos docentes, especialmente ingles.;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;5;Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;5;2;Sim;5;4;;Devido à baixa internacionalizacao na area de Ciencias Humanas, gostaria de sugerir à PPG que fomentasse, junto ao CCH, a criacao de um programa interdisciplinar integrando pesquisadores do Centro com perfil internacional, visto que, separadamente, a maior parte dos programas ainda nao tem plenas condicoes para avancar neste sentido.
Agroquimica;Entre 4 e 12 anos;5;5;5;3;4;3;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;Sim;5;Sociedade, Empresas;Sim, junto a agencias de fomento governamentais;Nao tenho nada a declarar;Sim;Nao;Nao;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;3;;2;3;Sim;4;1;Nao tenho nada a declarar;Nao tenho nada a declarar
Defesa Sanitaria Vegetal;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;5;5;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;5;5;Sem condicoes de avaliar;5;5;4;4;4;4;4;4;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Tempo e recursos;Sim;Sim;Nao;Nao;Sim, em um evento local;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;4;;5;5;Nao;4;4;;
Zootecnia;Mais de 12 anos;4;4;2;4;4;3;4;2;3;5;4;4;4;4;3;3;3;4;3;4;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Maior participacao em eventos internacionais e maior numero de artigos publicados n exterior;Sim;;Sim;Nao;Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Avanco cientifico;4;;5;5;Sim;5;5;;
Educacao;Entre 4 e 12 anos;4;5;4;3;3;2;5;5;5;5;5;5;5;5;4;4;4;4;4;5;4;4;Sim;5;"Sociedade, Outros Pesquisadores, Mais especificamente, professores da educacao superior e educacao basica; professores em formacao inicial e continuada.  ";Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Desenvolver trabalhos em rede de pesquisa e publicar em revistas bilingues ou estrangeiras. ;Nao;;;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;2;;4;4;Sim;3;0;"Tenho certeza que nosso programa cumpre uma funcao social impar no contexto regional em que se insere. Recebemos como estudantes, no Programa, professores, muitos deles advindos de uma formacao em instituicoes privadas, de qualidade questionavel, e conseguimos fazer um trabalho arduo, continuo e competente. Isso nos exige um esforco imenso, um acompanhamento de todo o processo de aprendizagens sobre a producao do conhecimento. Continuamente recebemos retornos, de nossos orientandos, sobre a diferenca que o mestrado fez na sua vida e na comunidade escolar em que esse profissional se insere.  Nossos orientandos sao aprovados nas melhores instituicoes publicas de formacao, em doutorados; sao bem sucedidos em estagios de doutoramento no exterior. Ha alta empregabilidade dos egressos do programa.  Muitos dos ex-alunos sao aprovados em concursos docentes em instituicoes de ensino superior estaduais e federais. Tambem compoem corpo de tecnicos de nivel superior das instituicoes federais.  Muitos se tornam diretores, professores, coordenadores de redes de ensino publicas e particulares. ";"Cada programa tem um potencial e para avancar e preciso de apoio. Nao temos duvida de nossa importância. Somos um dos programas mais concorridos da UFV e cumprimos uma funcao social impar. Nosso programa tem umas das melhores revistas da instituicao em que muitos programas, ja consolidados,  buscam orientacoes, mas nao temos recursos; nao temos apoio. Todos os dias pensamos onde vamos encontrar recursos. e um exercicio penoso, desgastante.  Precisamos de recursos para continuar existindo com nossa identidade, com a nossa missao, fazendo o que sabemos fazer, com o repertorio de conhecimento que acumulamos. "
Fitotecnia;Mais de 12 anos;5;5;5;4;5;4;5;5;5;5;5;5;4;5;5;5;5;4;4;4;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Mais recursos de toda ordem (financeiros, materiais, humanos) e uma clara opcao da politica nacional em favor do desenvolvimento da ciencia ;Sim;Sim;Sim;Sim;Nao;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Nao;4;4;;Penso que uma Pro-Reitoria de Pesquisa e Pos-Graduacao que anseia por alto grau de internacionalizacao deveria proporcionar o ensino de idiomas de modo intensivo a todos os orientadores de programas de PG. Entendo que isso e mandatorio, e que deveria anteceder qualquer cobranca insistente por oferta de disciplina em outros idiomas. Como se pode atingir a internacionalizacao plena se as condicoes para tal nao sao oferecidas? 
Microbiologia Agricola;Entre 4 e 12 anos;4;4;4;4;5;3;4;4;4;4;4;4;4;3;2;3;3;4;3;4;4;4;Sim;5;Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;"recurso para custear publicacao em revistas de ""acesso aberto""";Sim;Sim;Nao;Nao;evento de empresas;Sim, em um evento nacional, Sim, em um evento internacional;5;Licenciamento de processos ou produtos, Avanco cientifico;4;;5;5;Nao;4;4;;
Genetica e Melhoramento;Mais de 12 anos;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Ter mais recursos (financeiros, materiais e humanos) investidos em ensino e pesquisa.;Sim;Sim;Sim;Nao;Nao;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;4;4;Nao;4;4;;A PPG deveria prover os meios para capacitar, por completo, todos os orientadores quanto a fluencia em outros idiomas, ingles em especial. Isso deveria ser mandatorio. De que adianta cobrar insistentemente o oferecimento de disciplinas em outro idioma se a tao necessaria capacitacao nao e disponibilizada?
Ecologia;Entre 4 e 12 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;3;3;5;5;5;5;4;4;5;4;4;5;5;5;2;5;4;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a fundacoes nao governamentais de apoio a pesquisa federais e internacionais.;Incentivar o trabalho em equipe, parcerias nacionais e internacionais, financiamentos e publicacao de resultados relevantes. O relacionamento com docentes e discentes deve ser feito de forma coerente e igualitaria. Focar em metas que gerem resultados produtivos e relevantes para a CAPES. Ex: a adocao de workshops e bem-vinda, desde que resulte na producao de projetos e publicacoes que sejam relevantes. ;Nao;;;Sim;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;2;Sim;5;4;;Estou bastante satisfeita com a atual gestao da PPG
Zootecnia;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;5;5;Sim;5;Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Recursos financeiros para realizacao de pesquisa basica e aplicada.;Sim;Sim;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Avanco cientifico;4;;5;5;Sim;5;3;;
Agroecologia;Entre 4 e 12 anos;4;5;4;5;5;2;5;5;5;5;5;4;5;5;4;5;4;4;3;5;4;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;;Nao;;;Sim;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;2;2;Nao;3;0;;acho que a pro-reitoria deveria ter acoes especificas voltadas para os programas 3, 4, 5, 5 e 7. tratar todos da mesma forma e nao querer que os 3,4 5 cheguem a 6 ou 7
Zootecnia Mestrado Profissional;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;3;5;5;3;5;3;3;5;4;4;4;4;4;4;4;4;4;Sim;4;Sociedade, Empresas;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Recursos financeiros para realizacao dos projetos.;Nao;;;Nao;Nao;Nao;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda;3;;2;3;Nao;5;2;;
Economia Domestica;Menos de 4 anos;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;Sim;4;Sociedade, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Maior visibilidade e e interacao com outros programas nacionais e internacionais;Nao;;;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional;4;Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;4;Nao;4;2;;
Estatistica Aplicada e Biometria;Entre 4 e 12 anos;5;5;5;3;3;3;5;3;3;5;4;4;5;5;5;5;5;5;4;5;5;5;Nao;;Empresas, Outros Pesquisadores;Sim, junto a prefeituras municipais;Trabalho coletivo com colegas que atuam na mesma linha de pesquisa;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local;3;;4;4;Sim;4;4;Temos um potencial incrivel;Sou muito grato pelo apoio que a PPG vem dando aos meus projetos de pesquisa
Arquitetura e Urbanismo;Entre 4 e 12 anos;4;4;2;4;3;2;4;4;4;5;4;4;5;5;4;4;3;4;3;5;4;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;ALGUMAS TENTATIVAS ANTERIORES;Maior integracao entre os pesquisadores e projetos, com um projetao mae;Nao;;;Sim;para COMUNIDADES cientificas nas varias instâncias perguntadas. Para a SOCIEDADE (comunidade) em algumas escolas;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;2;Sim;5;5;"O PPG.au tem 10,5 anos de funcionamento, ja consolidado no mestrado e com 2 anos 
 de criacao do doutorado (iniciando 3 turma), nota 4 CAPES.  Tem um papel fundamental na pos-graduacao na area de Arquitetura e Urbanismo, uma vez que abriga o segundo curso de doutorado de Minas Gerais, sendo o primeiro da UFMG. Algumas iniciativas/tentativas de acordos internacionais nao foram bem sucedidas e e uma acao importante agora. Ja temos algumas insercoes internacionais.  O programa precisa ainda ter mais integracao entre as linhas de pesquisa e entre os pesquisadores, buscando fortificar as linhas de pesquisa e buscar um pensamento de maior coletividade. Necessarios busca de mais recursos e apoio financeiro para o programa. Publicacoes mais qualificadas tambem deve ser uma meta do programa.";Apenas ressaltar que e importante apoio aos programas abaixo de 5,para o crescimento e consolidacao de todas as areas de conhecimento e dos cursos de pos-graduacao da UFV.
Ciencia da Nutricao;Mais de 12 anos;4;5;5;4;5;5;5;5;5;5;4;4;5;5;4;5;3;4;5;5;4;5;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Ser mais aberto e disposto a apresentar seus resultados para toda a sociedade e nao so a cientifica;Sim;Nao;Sim;Nao;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;1;4;Nao;2;0;Ser mais aberto;Internacionalizacao nao e so obrigar a fazer o tofel, entre outras provas, mas conversar mais com a pro-reitoria de ensino e colocar /estimular mais o nosso aluno de graduacao a ter acesso a lingua inglesa
Meteorologia Aplicada;Entre 4 e 12 anos;4;4;5;5;4;5;4;4;4;5;5;5;5;4;4;4;4;4;3;4;4;4;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Sim;Nao;Nao;Nao;Nao;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;4;5;Nao;4;3;;
Entomologia;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;4;5;4;4;5;4;4;3;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a fundacoes de apoio à pesquisa nao governamentais federais e internacionais. ;Acredito que esse programa ja realiza essas funcoes de maneira geral, porem alguns docentes necessitam de melhorias. ;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;5;Sim;5;4;Estou bastante satisfeita com a coordenacao e gestao deste programa de pos-graduacao. ;Estou bastante satisfeita com a atual gestao da PPG. 
